"pmid","article_title","journal_issue_id"
"3400","Anaerobic release of fluoride from halothane. Relationship to the binding of halothane metabolites to hepatic cellular constituents.",1384
"3401","Microsomal spectral properties and narcotic N-demethylase activity in methadone-dependent rats.",1384
"3402","Metabolism of 2-(3-chloro-4(4-chlorobenzoyl)-phenyl)-as-triazine-3,5(2H,4H)-dione by the chicken.",1384
"3403","Physiological disposition and metabolism of N-t-butylarterenol and its di-p-toluate ester (bitolterol) in the rat.",1384
"3404","Physiological disposition and metabolism of (3H)bitolterol in man and dog.",1384
"3409","Alternatives to practolol - the argument in more detail.",1385
"3410","[Rational diagnosis of liver diseases].",1386
"3405","Adriamycin metabolism in man. Evidence from urinary metabolites.",1384
"3411","[Termination of pregnancy and perinatal mortality (author's transl)].",1387
"3406","Binding of organic compounds to rat liver and lung.",1384
"3407","Pharmacokinetics of digoxin in the rat.",1384
"3412","[Analgesia in myocardial infarction].",1388
"3413","[Sprays as surface anesthetics in dentistry].",1389
"3414","Histidyl transfer ribonucleic acid synthetase from Salmonella typhimurium. Interaction with substrates and ATP analogues.",1390
"3408","N-acetylation of drugs. Pharmacogenetic studies in rabbits selected for their acetylator characteristics.",1384
"3415","[The coupling of beta1-24-corticotropin to the adenylate-cylase system in rat adipocytes. Evidence for hormone-nucleotides interaction (author's transl)].",1390
"3416","Ion-binding to phospholipids. Interaction of calcium with phosphatidylserine.",1390
"3417","Cytotoxic sulphonamides designed for selective deposition in malignant tissue.",1391
"3418","Neutrophils collection and transfusion for the treatment of infection in neutropenic patients.",1392
"3419","Action of H1 and H2 inhibitors on the response of histamine sensitive adenyly cyclase from guinea-pig mucosa.",1393
"3420","Anti-arrhythmic action of nadolol, a beta-adrenergic receptor blocking agent.",1394
"3421","Effects of chemical stimulation of the mesolimbic dopamine system upon locomotor activity.",1394
"3422","Neuroblasts-glia interaction. The effect of co-cultivation upon ecto-ATPase activity of neuroblastoma and glioma cells.",1395
"3423","Descending projections of the rostral septal region: an electrophysiological-histological study in the cat.",1396
"3424","Elevated serum and hepatic tyrosine aminotransferase in voles chronically infected with Trypanosoma brucei gambiense.",1397
"3425","Syphacia muris: response to environmental stimuli when hatching in vitro.",1397
"3426","Effect of PGE1 on lipogenesis in perfused rat liver.",1398
"3427","gamm-Glutamyl transpeptidase in human nephroblastoma grown in nude mice.",1398
"3428","Influence of mono- and multivalent cations on the electrokinetic properties of normal human lymphoid and burkitt lymphoma cells.",1398
"3429","An amnesic effect of benzodiazepines in rats?",1398
"3430","[Development of a long-term stable blood substitute solution].",1399
"3431","[Methods for the quantitative determination of streptomycin].",1399
"3432","[Identification and determination of 2-hydroxynicotinic acid].",1400
"3435","1,8-naphthyridine derivatives: synthesis and pharmacological evaluation of beta-receptor blocking activity.",1401
"3436","Immobilised enxymes.",1402
"3434","[Heightened anticholinesterase activity of chlorophos in its interaction with the TMB-4 reactivator in vitro].",1403
"3437","The reconstruction of enzymic lipid peroxidation systems from microsomes of various origin.",1404
"3438","Observations on CO trout hemoglobins by 13CNMR.",1404
"3433","[Pharmacology of methvin--a new ganglionic blocking preparation of short-term effect].",1403
"3439","Reaction of the cytosine nucleus with hydrazine in the presence of bisulphite.",1404
"3440","A non-redox role of the coenzyme in the catalysis of isocitrate dehydrogenase.",1404
"3441","[Methods of molecular spectroscopy in the analysis of phenothiazine series compounds].",1405
"3445","The temperature, pH, and partial pressure of oxygen in the cervix and uterus of women and uterus of rats during the cycle.",1406
"3443","[Conditions for the formation and extraction of an atropine-picric acid reaction product].",1407
"3446","[Responses of small intestine tissue chemoreceptors to change in the pCO2, pH and (HCO3-) in perfusion solutions].",1408
"3442","[Methods of stabilizing eyedrops].",1405
"3444","[Determination of trimecaine by an extractive photometric method].",1409
"3447","A reexamination of the leucine tRNAs and the leucyl-tRNA synthetase in developing Tenebrio molitor.",1410
"3448","Identification of dimethylnitrosoamine metabolites in vitro.",1411
"3449","Degradation of dimethylnitrosoamine catalysed by physical and chemical agents.",1411
"3450","Properties of aryl hydrocarbon hydroxylase in microsomes of Morris hepatoma 5123D and the host liver.",1411
"3451","Electronic interaction of carcinogenic and noncarcinogenic benz(c)acridines and DNA.",1411
"3452","Purification of an immunosuppressive principle from Ehrlich carcinoma ascites.",1411
"3453","[Inhalation analgesia with methoxyfluran (penthrane) in obstetrics (author's transl)].",1412
"3454","[Problems of multiple pregnancy].",1413
"3455","[Gamma-glutamyl transpeptidase activity in the placenta, the blood serum collected in pregnancy and in labor, in cases of normal pregnancies and its several complications].",1413
"3456","Post-prandial changes in PH and electrolyte concentration, in the upper jejunum after truncal vagotomy and drainage in man.",1414
"3457","Vitamin B12 absorption--a study of intraluminal events in control subjects and patients with tropical sprue.",1414
"3460","The renal handling of 2,4,5-trichlorophenoxy- acetic acid (2,4,5-T) in the dog.",1415
"3461","[Experimental testing of a new gastrotherapeutic agent].",1416
"3458","[The effects of some polypeptides on the systemic blood pressure of sheep (author's transl)].",1417
"3459","Report from National Institutes of Health/World Health Organization Workshop on advances in comparative virology.",1418
"3462","[The disulfide bridges of the trypsin-kallikrein inhibitor K from snails (Helix pomatia). Thermal inactivation and proteolysis by thermolysin (author's transl)].",1419
"3463","[The inter-alpha-trypsin inhibitor as precursor of the acid-stable proteinase inhibitors in human serum and urine].",1419
"3464","Plant microbody proteins, I. Purification and characterization of catalase from leaves of lens culinaris.",1419
"3465","The activator of human cerebroside sulphatase. Activating effect on the acidic forms of the sulphatases from invertebrates.",1419
"3466","Multiple forms of boar acrosin and their relationship to proenzyme activation.",1419
"3467","Toxin II from Anemonia sulcata-the first sequence of a coelenterate toxin.",1419
"3468","Pyridoxal-5-phosphate-dependent enzymes in riboflavin deficiency.",1420
"3469","Gel filtration and related studies on the reconstitution of bacteriophage T4.",1421
"3470","Immunochemical relationships between bacteria belonging to two separate families: pneumococci and Klebsiella.",1422
"3471","[Conditions for the efficacy of nutritional therapy].",1423
"3472","[Clinical testing of bronchospasmolytics in combined alternating test schedules].",1424
"3473","The first transplantation of a Fallopian tube of frozen material in woman.",1425
"3474","An objective method for evaluating Angus and Hereford sperm motility.",1425
"3475","Sperm antibodies in men from infertile couples. Analysis of sperm agglutinins and immunofluorescent antibodies in 657 men.",1425
"3476","The value of the basal temperature chart in the management of infertility.",1425
"3477","Absorption activity of the blood group substances in various fractions of split ejaculates from man.",1425
"3478","The polycystic ovary. I. Estradiol/testosterone ratio and the use of antiestrogens.",1425
"3479","The polycystic ovary. II. Progesterone plasma levels after the use of antiestrogens.",1425
"3480","Offspring of subfertile parents. A preliminary survey.",1425
"3481","Increased fibrinolytic activity in the endometrium of patients using copper-iud (gravigard).",1425
"3482","Effects of aminophylline, imidazole and indomethacin on spontaneous and prostaglandin induced ovarian contractions in vitro.",1425
"3483","Effect of low doses of alpha-chlorohydrin on fertility and semen characteristics and binding of the drug of spermatozoa in swine.",1425
"3484","Active transport system in human spermatozoa.",1425
"3485","Sperm antibodies in serum and seminal plasma.",1425
"3486","[The diagnosis and differential diagnosis of acute cerebral circulation disorders].",1426
"3488","Proceedings: Lack of inverse relationship between the net charge of thymus-independent immunogens and the responding spleen cells.",1427
"3489","[Clinical and experimental observations on idiopathic urticaria due to the contact with heat].",1428
"3487","Fluorescence polarization studies on the binding between glutamate dehydrogenase and cytoplasmic aspartate aminotransferase.",1429
"3490","Lubrication and cartilage.",1430
"3491","Urea transport-defective strains of Saccharomyces cerevisiae.",1431
"3492","Physiological factors affecting transformation of Azotobacter vinelandii.",1431
"3493","Role of D-tryptophan oxidase in D-tryptophan utilization by Escherichia coli.",1431
"3494","Transduction of chromosomal genes between enteric bacteria by bacteriophage P1.",1431
"3495","Galactoside accumulation by Escherichia coli, driven by a pH gradient.",1431
"3496","Adenosine 5'-monophosphate-stimulated cyanide-insensitive respiration in mitochondria of Moniliella tomentosa.",1431
"3497","Sulfate-reducing pathway in Escherichia coli involving bound intermediates.",1431
"3498","An endonuclease from Escherichia coli that introduces single polynucleotide chain scissions in ultraviolet-irradiated DNA.",1432
"3499","Quaternary conformational changes in human hemoglobin studied by laser photolysis of carboxyhemoglobin.",1433
"3500","Muscarinic acetylcholine receptor from rat brain. Partial purification and characterization.",1433
"3501","Quantitative relationships between phosphorylation, electron flow, and internal hydrogen ion concentrations in spinach chloroplasts.",1433
"3502","Kinetic properties of human placental aromatase. Application of an assay measuring 3H2O release from 1beta,2beta-3H-androgens.",1433
"3503","Apparent oxidation-reduction potential of Clostridium acidi-urici ferredoxin. Effect of pH, ionic strength, and amino acid replacements.",1433
"3504","A deoxyribonucleic acid kinase from nuclei of rat liver. Purification and properties.",1433
"3505","Hydrogen exchange at the amide group of reduced pyridine nucleotides and the inhibition of that reaction by dehydrogenases.",1433
"3506","Vaccination of man and animals by the non-parenteral route. Isle-of-Man, September 1975.",1434
"3507","W.H.O./I.A.B.S. symposium on the measurement of the number of organisms in bacterial vaccines. Geneva, 2-3 October 1975. Statement on the determination of opacity of bacterial suspensions for vaccine.",1434
"3508","A Dacron wool packed-bed extracorporeal reactor: a kinetic study of immobilized Escherichia coli II L-asparaginase.",1435
"3509","Isolation of intact megakaryocytes from guinea pig femoral marrow. Successful harvest made possible with inhibitions of platelet aggregation; enrichment achieved with a two-step separation technique.",1436
"3510","The polymerization of actin. III. Aggregates of nonfilamentous actin and its associated proteins: a storage form of actin.",1436
"3511","Degradation of abnormal proteins in HeLa cells.",1437
"3512","The effect of pH on incorporation of galactose by a normal human cell line and cell lines from patients with defective galactose metabolism.",1437
"3513","Experiments on the synthesis of tetracycline. Part XIV. Closure of ring B by base-catalysed photocyclisation.",1438
"3514","Chromatography of hemoglobins on CM-cellulose with bis-tris and sodium chloride developers.",1439
"3515","The determination of phanquone in biological material by gas-liquid chromatography.",1439
"3516","Stability of fluorescent antibody conjugates stored under various conditions.",1440
"3517","Inactivation of viruses in serum with binary ethyleneimine.",1441
"3518","Inorganic phosphate homeostasis. Renal adaptation to the dietary intake in intact and thyroparathyroidectomized rats.",1442
"3519","Effect of beta adrenergic blockade on renin response to renal nerve stimulation.",1442
"3520","Identification and characterization of a bile acid receptor in isolated liver surface membranes.",1442
"3522","The process of fear reduction through systematic desensitization.",1443
"3523","A controlled study to assess the clinical efficacy of totally self-administered systematic desensitization.",1443
"3521","A brief anxiety rating scale in evaluating anxiolytics.",1444
"3524","Comparative psychotherapy: rational-emotive therapy versus systematic desensitization in the treatment of stuttering.",1443
"3525","Toxaphene degradation by iron(II) protoporphyrin systems.",1445
"3526","Hydrolysis of methylparathion in soils.",1445
"3527","Studies on the adsorption and interaction of 1,2-dibromo-3-chloropropane. I. With montmorillonites.",1445
"3528","Kinetics and mechanisms of conversion of methyl 1-(butylcarbamoyl)-2-benzimidazolecarbamate (benomyl) to methyl 2-benzimidazolecarbamate (MBC).",1445
"3529","Kinetics and mechanisms of conversion of methyl 1-(butylcarbamoyl)-2-benzimidazolecarbamate (benomyl) to 3-butyl-2,4-dioxo(1,2-a)-s-triazinobenzimidazole (STB) and 1-(2-benzimidazolyl)-3-n-butylurea (BBU).",1445
"3530","Specificity of the vanillin test for flavanols.",1445
"3531","Ethylcarbamate in fermented beverages and foods. II. Possible formation of ethylcarbamate from diethyl dicarbonate addition to wine.",1445
"3532","Composition, solubility, and gel electrophoretic properties of proteins isolated from Florunner (Arach is hypogaea L.) peanut seeds.",1445
"3533","Enzymatic hydrolysis of food protein for amino acid analysis. I. Solubilization of the protein.",1445
"3536","Metal-metal interactions involving metalloporphyrins. III. Conversion of tetraphenylporphinatoiron(III) azide to an N-bridged hemin dimer.",1446
"3534","Extraction of methabenzthiazuron from the soil.",1445
"3537","Electrostatic facilitation of general acid catalyzed alpha-oxonium ion formation in a lysozyme-like environment: synthesis of the models.",1446
"3538","Electrostatic facilitation of general acid catalyzed alpha-oxonium ion formation in a lysozyme-like environment: Kinetic investigations.",1446
"3535","Measurement of methylcarbamate formed by the addition of dimethyl dicarbonate to model solutions and to wines.",1445
"3539","Some very rapid reactions of porphyrins in aqueous solution.",1446
"3540","pH dependence of the nitrotyrosine-248 and arsanilazotyrosine-248 carboxypeptidase A catalyzed hydrolysis of O-(trans-p-chlorocinnamoyl)-L-beta-phenyllactate.",1446
"3541","Letter: Hydride mobility in pyridinium salt-dihydropyridine mixtures. A biomimetic pyridine nucleotide transhydrogenation.",1446
"3542","Letter: Solvent isotope effect in inorganic pyrophosphatase-catalyzed hydrolysis of inorganic pyrophosphate.",1446
"3543","Interaction of uridine and cytidine monophosphates with ribonuclease A. IV. Phosphorus-31 nuclear magnetic resonance studies.",1447
"3544","Dehalogenation of 5-bromo-6-methoxy-5,6-dihydrothymine by cysteine.",1447
"3545","The changing pattern of bacterial sepsis since the introduction of antibiotic therapy.",1448
"3546","[Has the pH meter replaced the Apgar score?].",1449
"3604","Kinetics of the antibody response to type III pneumococcal polysaccharide. I. Evidence that suppressor cells function by inhibiting the recruitment and proliferation of antibody-producing cells.",1450
"3605","Influence of protein restriction on immune functions in NZB mice.",1450
"3606","Characterization of cells that suppress the cytotoxic activity of T lymphocytes. I. Quantitative measurement of inhibitor cells.",1451
"3607","IgM-mediated, T cell-independent suppression of humoral immunity.",1451
"3608","Letter: Factors influencing the response of mice to type III pneumococcal polysaccharide.",1451
"3609","Secondary IgG responses to type III pneumococcal polysaccharide. II. Different cellular requirements for induction and elicitation.",1451
"3610","The effect of Bordetella pertussis on the antibody response in mice to type III pneumococcal polysaccharide.",1451
"3611","Immunology of DNA. I. The influence of reaction conditions on the Farr assay as used for the detection of anti-ds DNA.",1452
"3612","A Doppler assay for the antigen--antibody reaction.",1452
"3613","California arbovirus (La Crosse) infections. III. Epidemiology of California encephalitis in Minnesota.",1453
"3614","Characterization of fatty acid desaturase activity in rat lung microsomes.",1454
"3615","Effect of unilateral and bilateral castration and cryptorchidism on serum gonadotrophins in the rat.",1455
"3616","Further evidence for histamine facilitating oestrogen action in the uterus.",1456
"3617","Prolactin stimulation test with perphenazine: an evaluation of plasma prolactin levels and pituitary secretory activity in the rat.",1457
"3618","Activation and desensitization of platelets by platelet-activating factor (PAF) derived from IgE-sensitized basophils. I. Characteristics of the secretory response.",1458
"3619","Activation of platelets by platelet-activating factor (PAF) derived from IgE-sensitized basophils. II. The role of serine proteases, cyclic nucleotides, and contractile elements in PAF-induced secretion.",1458
"3620","Acid hydrolases in leukocytes and platelets of normal subjects and in patients with Gaucher's and Fabry's disease.",1458
"3621","Regulation of the oxidative NADP-enzyme tissue levels in Drosophila melanogaster. I. Modulation by dietary carbohydrate and lipid.",1459
"3622","Analysis of acetate non-utilizing (acu) mutants in Aspergillus nidulans.",1460
"3623","Predicting individual responses to drug treatment in schizophrenia: a test dose model.",1461
"3624","On the bimodality of the distribution of electrodermal orienting responses in schizophrenic patients.",1461
"3625","Cytochrome redox potential dependence on substrate in rat cerebral cortex slices: importance of cytoplasmic NAD(P)H and potassium.",1462
"3626","Dopamine-beta-hydroxylase activity in human cerebrospinal fluid.",1462
"3627","Comparative investigation of free nucleotides in two neuroblastoma clonal cell lines.",1462
"3628","Guanylate cyclase in vertebrate retina:evidence for specific association with rod outer segments.",1462
"3629","Enzymes associated with the metabolism of catecholamines, acetylcholine and gaba in human controls and patients with Parkinson's disease and Huntington's chorea.",1462
"3630","Oxidative metabolism of the cerebral cortex of the rat in severe insulin-induced hypoglycaemia.",1463
"3631","Glycerol kinase and dihydroxyacetone kinase in rat brain.",1463
"3632","Sudden hemorrhage in metastatic thyroid carcinoma of the brain during treatment with iodine-131.",1464
"3633","Alkaloids of Vinca rosea L. (Catharanthus roseus G. Don). XXXVII. Structure of vincathicine.",1465
"3634","[The regional blood flow of brainstem and effect of anti-vertigo drugs (author's transl)].",1466
"3635","Concentrations of bacteria in cerebrospinal fluid of patients with bacterial meningitis.",1467
"3636","Iron--sulfur proteins of Entamoeba histolytica.",1468
"3637","[Acid dissociation of serotonin(5-hydroxytryptamine) and 5-hydroxytryptophan (author's transl)].",1469
"3638","Quantitative determination of resorcinol in presence of phenol.",1470
"3639","Oil-water distribution of p-alkylpyridines.",1470
"3640","Neurogenic influences of bilateral adrenalectomy on monoamine oxidase.",1470
"3641","Binding study of tetracyclines to human serum albumin using difference spectrophotometry.",1471
"3642","Fluorescence of hydralazine in concentrated sulfuric acid.",1471
"3643","The antiarrhythmic and cardiovascular properties of 1-dimethyl isopropylamino-3-(2-phenylphenoxy)-propan-2-ol chloride, UM-424.",1472
"3644","Acid secretion by guinea-pig isolated stomach.",1473
"3645","Two components of the calcium current in the egg cell membrane of the tunicate.",1473
"3646","Oestrogenic sensitivity of rat uterine secretion.",1474
"3647","A new series of cardioselective adrenergic beta-receptor blocking compounds. 1-(2-Acyl-4-acylaminophenoxy)-3-isopropylaminopropan-2-ols.",1475
"3648","Teaching interviewing for pediatrics.",1476
"3649","The USAF School of Health Care Sciences PLATO IV project: a mini-curriculum for PAs.",1476
"3652","Effect of calcium on the membrane potential of Amphiuma red cells.",1477
"3650","ATP synthesis driven by a protonmotive force in Streptococcus lactis.",1478
"3651","Effect of local anesthetics on chloride transport in erythrocytes.",1478
"3653","Transitory postnatal hemolysis of calf red cells by amino acids.",1477
"3654","Packing in a new crystalline form of glutamine synthetase from Escherichia coli.",1479
"3655","Studies of the histidine residues of triose phosphate isomerase by proton magnetic resonance and x-ray crystallography.",1479
"3656","Conformational transitions of the lac repressor from Escherichia coli.",1480
"3657","Myosin from starfish egg: properties and interaction with actin.",1480
"3658","Production of slow responses in canine cardiac Purkinje fibers exposed to reduced pH.",1481
"3659","Calcium sequestration by subcellular fractions isolated from vascular smooth muscle: effect of cyclic nucleotides and prostaglandins.",1482
"3660","Biochemical properties of cyclic nucleotide phosphodiesterase in metastasizing and nonmetastasizing rat mammary carcinomas.",1483
"3661","Hybrid-versus-parental strain reaction. III. Comparative mortality in parental strain mice of the H-2k genotype.",1484
"3662","Cryptorchidism, hernia, and cancer of the testis.",1485
"3663","The physician's assistant program at Harlem Hospital Center.",1486
"3664","Hemodynamic and respiratory responses of conscious swine to E. coli endotoxin.",1487
"3665","Isoaccepting species of serine tRNA coded by bacteriophage T5sto.",1488
"3666","Purification and characterization of mouse interferon with novel affinity sorbents.",1488
"3667","Induction of prophage SPO2 in Bacillus subtilis: isolation of excised prophage DNA as a covently closed circle.",1488
"3668","Escherichia coli capsule bacteriophages. VIII. Fragments of bacteriophage 28-1.",1489
"3669","Letter: Sensitivity of liver function tests.",1490
"3672","[Polyarteritis nodosa].",1491
"3673","[Mechanism of actions of immunosuppressive agents in nephrotic syndrome].",1492
"3674","Studies on mode of antagonism between adrenergic beta-mimetics and beta-blocking agents (I). Beta-blocking action of mescaline and its derivatives.",1493
"3675","Regulation of tyrosine hydroxylase activity by prostaglandin E1 in guinea pig adrenal gland.",1493
"3676","[Long bypass graft for atypical aortic coarctation caused by aortitis--surgical methods].",1494
"3677","[Systematic diagnosis of chronic diarrhea in infants and small children].",1495
"3678","[Cryptorchism in children].",1496
"3679","[Inguinal hernia in cryptorchism].",1496
"3680","[Pheochromocytoma: intraoperative resuscitation without vasopressors and methoxyflurane anesthesia].",1497
"3681","[The role of HCO3- ATPase in H+ /HCO3-Secretion (author's transl)].",1498
"3682","[Tissue specific inhibition of lymphocyte proliferation by spleen extract (lymphocyte chalone) (author's transl)].",1499
"3683","Gastric mucosal permeability in burned patients: correlation with endoscopy.",1500
"3684","[Interlocking medullary nailing. Indications, technic with a new guiding instrument. Analysis of the 1st 50 operations].",1501
"3685","[Supporting role of the fibula in tibial fractures].",1501
"3686","[Clinical aspects and pathology of traumatic lesions of the optic nerve].",1501
"3687","[Preservation of crushed extremities].",1501
"3688","[Data on the causes and mechanisms of fatal injuries based on traffic accident cases at Csikszereda].",1501
"3689","[Experience with the management of subtalar dislocation].",1501
"3690","[Treatment of contracture of the finger joints by capsulectomy and spring-splints].",1501
"3691","[Experimental single-stage reconstruction of the tendon sheath and flexor tendon (free tendon graft, using a vein for sheath on the flexor tendon in dogs)].",1501
"3692","[Reconstruction of the injured flexor tendon in the proximal half of the ""no man's land"" by a modified method (tendon sheath reconstruction using a vein graft)].",1501
"3693","[Isolated luxation of the trapezium bone].",1501
"3694","[Amputation and rehabilitation].",1501
"3695","[Special care of injured patients after returning to work].",1501
"3696","[Delayed primary wound treatment].",1501
"3697","Chemical injuries of the upper extremity.",1502
"3698","Intraspecific variations in the hemolymph of Biomphalaria glabrata, a snail host of Schistosoma mansoni.",1503
"3699","[Value of gamma-glutamyl transpeptidase determination in the detection of chronic alcoholism].",1504
"3700","[Results of retransplantations].",1505
"3701","[Seloken (Metoprolol, Hässle)].",1506
"3702","[Mass spectrometry in drug addiction--and intensive care].",1507
"3703","[Acute renal insufficiency caused by glaphenine].",1508
"3704","Inhibition of phenylalanine hydroxylase activity by alpha-methyl tyrosine, a potent inhibitor of tyrosine hydroxylase.",1509
"3705","The influence of diet on the lipogenic response to thyroxine in rat liver.",1509
"3706","Effect of the ""calcium ionophore"" A-23187 on transmitter release at the frog neuromuscular junction.",1509
"3707","Metabolic changes in dogs during anaphylactic shock.",1509
"3708","Effect of thyroid status and cold stress on tyrosine hydroxylase activity in adrenal gland and brown adipose tissue.",1510
"3709","Amino acid incorporation by nuclear membrane fraction of rat liver.",1510
"3710","Neurotransmitter metabolism in murine neuroblastoma cells.",1511
"3711","Change in intracellular pH of rat liver during azo-dye carcinogenesis.",1512
"3712","The beta-adrenergic receptor.",1513
"3713","Practical answers to common questions about urinary tract infections.",1514
"3714","[The regulation of gastric and extragastric release of gastrin].",1515
"3715","[Toxic liver disintegration coma with consumption coagulopathy following carbromal poisoning].",1515
"3716","Fluorimetric analysis of alkaloids. Determination of serpentine, yohimbine, and boldine.",1516
"3717","The investigation of critical parameters in the glycolytic response of single living cells by rapid microspectrofluorometric analysis.",1516
"3720","[Relevance of biochemistry in diagnosis and development of alcoholic liver disease (author's transl)].",1517
"3718","[Changes in bile physicochemical indexes in experimental Salmonella typhimurium carrier state].",1518
"3722","Glyceryl guaiacolate in anesthesea.",1519
"3719","[Optimization of a method for the determination of tetrazolium reductase in soil].",1518
"3723","Cryptorchidism in dogs.",1519
"3721","[Natural control of blood-sucking mosquito population densities (review of literature)].",1520
"3724","Binding of iodinated beta adrenergic antagonists to proteins derived from rat heart.",1521
"3725","Structure-activity relationships of adenylate cyclase-coupled beta adrenergic receptors: determination by direct binding studies.",1521
"3726","Dopaminergic neurons: activation of tyrosine hydroxylase by a calcium chelator.",1521
"3727","Proline endopeptidase and exopeptidase activity in polymorphonuclear granulocytes.",1522
"3728","[A compact form of DNA in solution. 2. Peculiarities of acidic titration of double-stranded DNA in PEG-containing water-salt solutions].",1523
"3731","[Proceedings: Clinical findings on the management of cryptorchism].",1524
"3729","[Changes in the chemical composition and physico-chemical characteristics of chromatin from spleens of mice during immunogenesis].",1525
"3732","[Influence of intravenous pyelography on the urinary excretion of leucinearylamidase and gamma glutamyltraspeptidase in children].",1524
"3730","[Kinetics and mechanism of the 3H to 1H in C(8)H groups of purine derivatives].",1525
"3733","Alcohol intoxication and withdrawal.",1526
"3734","Regression of coronary-artery aneurysms in infantile polyarteritis nodosa.",1527
"3735","Letter: Respiratory therapists.",1527
"3736","Prenatal diagnosis of sickle-cell anemia and alpha G Philadelphia.  Study of a Fetus also at risk for H b S/beta+-thalassemia.",1528
"3737","Correction of severe combined immunodeficiency by fetal liver cells.",1529
"3738","Secretin, cholecystokinin and newer gastrointestinal hormones (first of two parts).",1529
"3739","Editorial: Immunologic reconstitution with fetal tissue.",1529
"3740","Association of high affinity stereospecific binding of 3H-propranolol to cerebral membranes with beta adrenoceptors.",1530
"3741","Histamine-sensitive adenylate cyclase in mammalian brain.",1531
"3742","Antagonistic effects of GABA and benzodiazepines on vestibular and cerebellar neurones.",1532
"3743","[Letter: Glafenin and nephrotoxicity].",1533
"3744","[Cause of death: rheumatoid arthritis].",1534
"3745","[Patient with abdominal pain].",1534
"3746","[Electromyographic study on the effect of oral calcium and vitamin D administration normocalcemic tetany].",1535
"3747","Cholinergic mechanisms in narcotic analgesics.",1536
"3748","Action of opiates, antipsychotics, amphetamine and apomorphine on dopamine receptors in rat striatum: in vivo changes of 3',5'-cyclic AMP content and acetylcholine turnover rate.",1536
"3750","[Non-barbiturate intravenous anesthetics].",1537
"3751","Diet, exercise and ketone metabolism.",1538
"3752","[Report on pilot-courses in the Academy of Public Health in Düsseldorf (author's transl)].",1539
"3749","[Use of Camazepam in the anesthesiologic practice].",1540
"3753","Cyclic AMP and neuroendocrine influence upon forelimb regeneration in the adult newt, Notophthalmus viridescens.",1541
"3754","[Mitosis in regenerating comb row and the double-nucleated cells of Ctenophora].",1542
"3755","Symposium on ski trauma and skiing safety. Foreword.",1543
"3756","[Serum level of enzymes during abortion (with simultaneous administration of beta mimetics and beta blocking agents)].",1544
"3758","[Disorders of peripheral hemodynamics in children with periarteritis nodosa].",1545
"3759","Impaired urinary acidification in the hypothyroid rat.",1546
"3757","[2 new species of microsporidians (Protozoa, Microsporidia) from mosquitoes of the family Chironomidae].",1547
"3760","Electrical responses of isolated Nitella protoplasm--excitations or artifacts?",1546
"3761","The action of Ca2+ , Mg2+ and H+ on the contraction threshold of frog skeletal muscle: Evidence for surface charges controlling electro-mechanical coupling.",1548
"3762","[Favorable spontaneous course of a perirenal hematoma in periarteritis nodosa].",1549
"3763","[Renal tubular acidosis].",1549
"3764","[Letter: Bacteriostatic and bactericidal activity of nalixidic acid. Variations as a function of PH].",1550
"3765","[Editorial: Mechanisms of the antihypertensive action of beta-blocking agents].",1551
"3766","[Comparison of the pA2 of various beta blocking agents].",1551
"3767","[Effects of adrenergic blockade on adipose tissue lipolysis provoked in cats and humans by intravenous perfusion of isoprenaline].",1551
"3768","[Letter: IGA level in cancer patients].",1552
"3769","Bone marrow transplantation in children.",1553
"3770","[The role of some microorganisms in the pathogenesis of non-specific bronchopulmonary infections].",1554
"3771","[Takayasu disease located in branches of the thoracic and abdominal aorta].",1554
"3772","[Serum and urinary gamma-glutamyl transpeptidase and leucine arylamidase activity in various forms of chronic glomerulonephritis].",1555
"3773","[Use of nomograms in the diagnosis and treatment of acid-base imbalance].",1556
"3774","[Early diagnosis of gas gangrene in laboratory animals by means of measurements of oxidation-reduction potential (eH) and acidity (pH)].",1557
"3775","Recent research on the basic factors involved in studies on the metabolism and distribution of anorectic drugs.",1558
"3776","[Significance of microorganisms found in throat swabs (author's transl)].",1559
"3777","[Out patient prophylaxis of arrhythmias due to coronary insufficiency (author's transl)].",1560
"3779","Detrimental effect of in vitro salivary contamination of acid-etched enamel.",1561
"3780","Control of adenylate cyclase from secretory vesicle membranes by beta-adrenergic agents and nerve growth factor.",1562
"3778","[The effect of hydrocortisone and insulin on the activity and isoenzymes of typrosine-alpha-ketoglutarate transaminase in the ctyostructures of the livers of rats of different ages].",1563
"3781","Preliminary characterization of the acrasin of the cellular slime mold Polysphondylium violaceum.",1562
"3782","Arthritis calling for surgical treatment-aetiology and epidemiology.",1564
"3783","The costs of arthritis and the benefits of joint replacement surgery.",1564
"3784","Non-operative treatment.",1564
"3785","Force actions transmitted by joints in the human body.",1564
"3786","Design and testing of replacement prostheses.",1564
"3787","Principles and practice in hip replacement.",1564
"3788","Unlinked surface replacement.",1564
"3789","Prostheses for joints including flexural elements.",1564
"3790","The mechanism of T cell mediated cytotoxicity. I. The release of different cell components.",1564
"3791","The mechanism of T cell mediated cytotoxicity. II. Morphological studies of cell death by time-lapse microcinematography.",1564
"3792","The ommatidium of the lacewing Chrysopa (Neuroptera).",1565
"3793","The origin and development of the epidermis and associated structures in the cercaria of Cryptocotyle lingua (Creplin) (Digenea: Heterophyidae) from Littorina littorea (L.).",1565
"3794","Morphogenesis and physiogenesis of the retino-tectal connection in the chicken. I. The retinal ganglion cells and their axons.",1565
