"journal_sk","journal_title","journal_iso_abbreviation"
477,"Nebraska Symposium on Motivation. Nebraska Symposium on Motivation","Nebr Symp Motiv"
478,"Neurobiology","Neurobiology"
479,"Neuroendocrinology","Neuroendocrinology"
480,"New York state journal of medicine","N Y State J Med"
481,"The New Zealand medical journal","N Z Med J"
482,"Obstetrics and gynecology","Obstet Gynecol"
483,"Origins of life","Orig Life"
484,"Orvosi hetilap","Orv Hetil"
485,"Pediatrics","Pediatrics"
486,"Nursing mirror and midwives journal","Nurs Mirror Midwives J"
487,"Polish journal of pharmacology and pharmacy","Pol J Pharmacol Pharm"
488,"Postgraduate medicine","Postgrad Med"
489,"Le Poumon et le coeur","Poumon Coeur"
490,"Prikladnaia biokhimiia i mikrobiologiia","Prikl Biokhim Mikrobiol"
491,"The Proceedings of the Nutrition Society","Proc Nutr Soc"
492,"Proceedings of the Royal Society of London. Series B, Biological sciences","Proc R Soc Lond B Biol Sci"
493,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)","Proc Soc Exp Biol Med"
494,"Pharmacology, biochemistry, and behavior","Pharmacol Biochem Behav"
495,"Pharmacology","Pharmacology"
496,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences","Philos Trans R Soc Lond B Biol Sci"
497,"Photochemistry and photobiology","Photochem Photobiol"
498,"Radiobiologia, radiotherapia","Radiobiol Radiother (Berl)"
499,"Revista clinica espanola","Rev Clin Esp"
500,"Recenti progressi in medicina","Recenti Prog Med"
501,"Kokyu to junkan. Respiration & circulation","Kokyu To Junkan"
502,"Revista de neuro-psiquiatria","Rev Neuropsiquiatr"
503,"Reviews of physiology, biochemistry and pharmacology","Rev Physiol Biochem Pharmacol"
504,"Revue de l'infirmiere","Rev Infirm"
505,"Revue d'oto-neuro-ophtalmologie","Rev Otoneuroophtalmol"
506,"La Revue du praticien","Rev Prat"
507,"Scandinavian journal of clinical and laboratory investigation","Scand J Clin Lab Invest"
508,"Scandinavian journal of infectious diseases","Scand J Infect Dis"
509,"Scandinavian journal of urology and nephrology","Scand J Urol Nephrol"
510,"Schizophrenia bulletin","Schizophr Bull"
511,"Scandinavian journal of thoracic and cardiovascular surgery","Scand J Thorac Cardiovasc Surg"
512,"Science (New York, N.Y.)","Science"
513,"Soudni lekarstvi","Soud Lek"
514,"Ryumachi. [Rheumatism]","Ryumachi"
515,"The South African journal of medical sciences","S Afr J Med Sci"
516,"Surgery","Surgery"
517,"The Tohoku journal of experimental medicine","Tohoku J Exp Med"
518,"Therapie","Therapie"
519,"Toxicology","Toxicology"
520,"Toxicon : official journal of the International Society on Toxinology","Toxicon"
521,"Steroids","Steroids"
522,"Stomatologiia","Stomatologiia (Mosk)"
523,"Transplantation","Transplantation"
524,"Upsala journal of medical sciences","Ups J Med Sci"
525,"Urological research","Urol Res"
526,"Urology","Urology"
527,"Veterinariia","Veterinariia"
528,"Virchows Archiv. B, Cell pathology","Virchows Arch B Cell Pathol"
529,"Vision research","Vision Res"
530,"Voprosy meditsinskoi khimii","Vopr Med Khim"
531,"Voprosy pitaniia","Vopr Pitan"
532,"The Western journal of medicine","West J Med"
533,"Voprosy virusologii","Vopr Virusol"
534,"Uspekhi fiziologicheskikh nauk","Usp Fiziol Nauk"
535,"Zeitschrift fur Lebensmittel-Untersuchung und -Forschung","Z Lebensm Unters Forsch"
536,"Zeitschrift fur Rheumatologie","Z Rheumatol"
537,"Zdravookhranenie Kirgizii","Zdravookhr Kirg"
538,"Zhurnal nevropatologii i psikhiatrii imeni S.S. Korsakova (Moscow, Russia : 1952)","Zh Nevropatol Psikhiatr Im S S Korsakova"
539,"Acta chirurgica Scandinavica","Acta Chir Scand"
540,"Igaku kenkyu. Acta medica","Igaku Kenkyu"
541,"Acta anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol Scand Suppl"
542,"Acta anatomica","Acta Anat (Basel)"
543,"Acta oto-rhino-laryngologica Belgica","Acta Otorhinolaryngol Belg"
544,"Acta pharmaceutica Hungarica","Acta Pharm Hung"
545,"Acta physiologica et pharmacologica Bulgarica","Acta Physiol Pharmacol Bulg"
546,"Acta physiologica Scandinavica","Acta Physiol Scand"
547,"Acta physiologica Polonica","Acta Physiol Pol"
548,"Acta poloniae pharmaceutica","Acta Pol Pharm"
549,"Advances in enzyme regulation","Adv Enzyme Regul"
550,"Advances in veterinary science and comparative medicine","Adv Vet Sci Comp Med"
551,"Agents and actions","Agents Actions"
552,"Nippon Ganka Gakkai zasshi","Nippon Ganka Gakkai Zasshi"
553,"Acta tropica","Acta Trop"
554,"Acta virologica","Acta Virol"
555,"The American journal of cardiology","Am J Cardiol"
556,"The American journal of clinical hypnosis","Am J Clin Hypn"
557,"The American journal of clinical nutrition","Am J Clin Nutr"
558,"American journal of diseases of children (1960)","Am J Dis Child"
559,"The American journal of gastroenterology","Am J Gastroenterol"
560,"American journal of human genetics","Am J Hum Genet"
561,"The American journal of medical technology","Am J Med Technol"
562,"American journal of mental deficiency","Am J Ment Defic"
563,"The American journal of roentgenology, radium therapy, and nuclear medicine","Am J Roentgenol Radium Ther Nucl Med"
564,"American journal of surgery","Am J Surg"
565,"Akusherstvo i ginekologiia","Akush Ginekol (Mosk)"
566,"Analytical chemistry","Anal Chem"
567,"Annales de l'anesthesiologie francaise","Ann Anesthesiol Fr"
568,"Anesthesia and analgesia","Anesth Analg"
569,"Annales de biologie clinique","Ann Biol Clin (Paris)"
570,"The American psychologist","Am Psychol"
571,"Annales chirurgiae et gynaecologiae Fenniae","Ann Chir Gynaecol Fenn"
572,"Annals of clinical research","Ann Clin Res"
573,"Annual review of entomology","Annu Rev Entomol"
574,"Antibiotiki","Antibiotiki"
575,"Antimicrobial agents and chemotherapy","Antimicrob Agents Chemother"
576,"Antonie van Leeuwenhoek","Antonie Van Leeuwenhoek"
577,"Annals of surgery","Ann Surg"
578,"The Annals of thoracic surgery","Ann Thorac Surg"
579,"Archives internationales de pharmacodynamie et de therapie","Arch Int Pharmacodyn Ther"
580,"Archives of internal medicine","Arch Intern Med"
581,"Archiv fur Gynakologie","Arch Gynakol"
582,"Archives of virology","Arch Virol"
583,"Archives of oral biology","Arch Oral Biol"
584,"Australian dental journal","Aust Dent J"
585,"The Australian nurses' journal. Royal Australian Nursing Federation","Aust Nurses J"
586,"Australian and New Zealand journal of medicine","Aust N Z J Med"
587,"Australian paediatric journal","Aust Paediatr J"
588,"The Australasian journal of dermatology","Australas J Dermatol"
589,"Aviation, space, and environmental medicine","Aviat Space Environ Med"
590,"Bollettino della Societa italiana di biologia sperimentale","Boll Soc Ital Biol Sper"
591,"British dental journal","Br Dent J"
592,"The British journal of addiction to alcohol and other drugs","Br J Addict Alcohol Other Drugs"
593,"British journal of cancer","Br J Cancer"
594,"Nauchnye doklady vysshei shkoly. Biologicheskie nauki","Nauchnye Doki Vyss Shkoly Biol Nauki"
595,"Biology of the neonate","Biol Neonate"
596,"Biomedicine / [publiee pour l'A.A.I.C.I.G.]","Biomedicine"
597,"Bulletin de l'Academie polonaise des sciences. Serie des sciences biologiques","Bull Acad Pol Sci Biol"
598,"Comptes rendus des seances de la Societe de biologie et de ses filiales","C R Seances Soc Biol Fil"
599,"Cancer","Cancer"
600,"Cell and tissue research","Cell Tissue Res"
601,"Concours medical","Concours Med"
602,"CRC critical reviews in toxicology","CRC Crit Rev Toxicol"
603,"Diseases of the colon and rectum","Dis Colon Rectum"
604,"Endokrinologie","Endokrinologie"
605,"Environmental research","Environ Res"
606,"Environmental physiology & biochemistry","Environ Physiol Biochem"
607,"European journal of pediatrics","Eur J Pediatr"
608,"European surgical research. Europaische chirurgische Forschung. Recherches chirurgicales europeennes","Eur Surg Res"
609,"European journal of pharmacology","Eur J Pharmacol"
610,"European journal of toxicology and environmental hygiene. Journal europeen de toxicologie","Eur J Toxicol Environ Hyg"
611,"Eye, ear, nose & throat monthly","Eye Ear Nose Throat Mon"
612,"Farmatsevtychnyi zhurnal","Farm Zh"
613,"Farmakologiia i toksikologiia","Farmakol Toksikol"
614,"Dental clinics of North America","Dent Clin North Am"
615,"Gastrointestinal endoscopy","Gastrointest Endosc"
616,"Geburtshilfe und Frauenheilkunde","Geburtshilfe Frauenheilkd"
617,"Gigiena i sanitariia","Gig Sanit"
618,"Gigiena truda i professional'nye zabolevaniia","Gig Tr Prof Zabol"
619,"Folia psychiatrica et neurologica japonica","Folia Psychiatr Neurol Jpn"
620,"Forensic science","Forensic Sci"
621,"In vitro","In Vitro"
622,"The Indian journal of chest diseases","Indian J Chest Dis"
623,"The Indian journal of medical research","Indian J Med Res"
624,"International journal of nuclear medicine and biology","Int J Nucl Med Biol"
625,"International pharmacopsychiatry","Int Pharmacopsychiatry"
626,"Der Internist","Internist (Berl)"
627,"The Italian journal of biochemistry","Ital J Biochem"
628,"Histochemistry","Histochemistry"
629,"Journal of clinical psychology","J Clin Psychol"
630,"Journal of clinical pathology","J Clin Pathol"
631,"Journal of immunological methods","J Immunol Methods"
632,"Journal of the Iowa Medical Society","J Iowa Med Soc"
633,"Journal of mechanochemistry & cell motility","J Mechanochem Cell Motil"
634,"Journal of electron microscopy","J Electron Microsc (Tokyo)"
635,"Journal of clinical chemistry and clinical biochemistry. Zeitschrift fur klinische Chemie und klinische Biochemie","J Clin Chem Clin Biochem"
636,"Journal of neurobiology","J Neurobiol"
637,"Journal of psychosomatic research","J Psychosom Res"
638,"Journal de radiologie, d'electrologie, et de medecine nucleaire","J Radiol Electrol Med Nucl"
639,"Journal of the Reticuloendothelial Society","J Reticuloendothel Soc"
640,"Journal of medical ethics","J Med Ethics"
641,"JPMA. The Journal of the Pakistan Medical Association","J Pak Med Assoc"
642,"Klinika oczna","Klin Oczna"
643,"Klinische Padiatrie","Klin Padiatr"
644,"Klinicheskaia meditsina","Klin Med (Mosk)"
645,"The Journal of thoracic and cardiovascular surgery","J Thorac Cardiovasc Surg"
646,"Medycyna doswiadczalna i mikrobiologia","Med Dosw Mikrobiol"
647,"Lebensversicherungs Medizin","Lebensversicher Med"
648,"Microvascular research","Microvasc Res"
649,"Mikrobiolohichnyi zhurnal","Mikrobiol Zh"
650,"Meditsinskaia parazitologiia i parazitarnye bolezni","Med Parazitol (Mosk)"
651,"Molecular & general genetics : MGG","Mol Gen Genet"
652,"Molekuliarnaia biologiia","Mol Biol (Mosk)"
653,"Modern problems in ophthalmology","Mod Probl Ophthalmol"
654,"MMW, Munchener medizinische Wochenschrift","MMW Munch Med Wochenschr"
655,"Mutation research","Mutat Res"
656,"Nederlands tijdschrift voor geneeskunde","Ned Tijdschr Geneeskd"
657,"Nervnaia sistema","Nerv Sist"
658,"Der Nervenarzt","Nervenarzt"
659,"No shinkei geka. Neurological surgery","No Shinkei Geka"
660,"Neurology","Neurology"
661,"Perceptual and motor skills","Percept Mot Skills"
662,"Perspectives in nephrology and hypertension","Perspect Nephrol Hypertens"
663,"Nordisk veterinaermedicin","Nord Vet Med"
664,"Nuclear-Medizin","Nucl Med (Stuttg)"
665,"Postepy biochemii","Postepy Biochem"
666,"Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis","Schweiz Rundsch Med Prax"
667,"Preparative biochemistry","Prep Biochem"
668,"Proceedings of the Australian Association of Neurologists","Proc Aust Assoc Neurol"
669,"Plastic and reconstructive surgery","Plast Reconstr Surg"
670,"Psychological issues","Psychol Issues"
671,"Progress in nucleic acid research and molecular biology","Prog Nucleic Acid Res Mol Biol"
672,"Revista brasileira de pesquisas medicas e biologicas","Rev Bras Pesqui Med Biol"
673,"Revista de chirurgie, oncologie, radiologie, o.r.l., oftalmologie, stomatologie. Oto-rino-laringologia","Rev Chir Oncol Radiol O R L Oftalmol Stomatol Otorinolaringol"
674,"Revista espanola de fisiologia","Rev Esp Fisiol"
675,"Research in veterinary science","Res Vet Sci"
676,"Rontgen-Blatter; Zeitschrift fur Rontgen-Technik und medizinisch-wissenschaftliche Photographie","Rontgenblatter"
677,"Schweizerische medizinische Wochenschrift","Schweiz Med Wochenschr"
678,"Schweizerische Monatsschrift fur Zahnheilkunde = Revue mensuelle suisse d'odonto-stomatologie","SSO Schweiz Monatsschr Zahnheilkd"
679,"La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris","Sem Hop"
680,"Sovetskoe zdravookhranenie","Sov Zdravookhr"
681,"The Surgical clinics of North America","Surg Clin North Am"
682,"Surgical forum","Surg Forum"
683,"Strahlentherapie","Strahlentherapie"
684,"Transactions of the Royal Society of Tropical Medicine and Hygiene","Trans R Soc Trop Med Hyg"
685,"Tropical and geographical medicine","Trop Geogr Med"
686,"Voenno-meditsinskii zhurnal","Voen Med Zh"
687,"Voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury","Vopr Kurortol Fizioter Lech Fiz Kult"
688,"Vrachebnoe delo","Vrach Delo"
689,"Wiener medizinische Wochenschrift (1946)","Wien Med Wochenschr"
690,"Zeitschrift fur Naturforschung. Section C, Biosciences","Z Naturforsch C Biosci"
691,"Zeitschrift fur Psychologie mit Zeitschrift fur angewandte Psychologie","Z Psychol Z Angew Psychol"
692,"Uspekhi sovremennoi biologii","Usp Sovrem Biol"
693,"Zhurnal evoliutsionnoi biokhimii i fiziologii","Zh Evol Biokhim Fiziol"
694,"Acta biochimica Polonica","Acta Biochim Pol"
695,"Acta chirurgica Iugoslavica","Acta Chir Iugosl"
696,"Acta endocrinologica","Acta Endocrinol (Copenh)"
697,"Acta Europaea fertilitatis","Acta Eur Fertil"
698,"Acta neuropathologica","Acta Neuropathol"
699,"Acta paediatrica Scandinavica","Acta Paediatr Scand"
700,"Acta pathologica et microbiologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Scand A"
701,"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Scand B"
702,"Acta psychiatrica Scandinavica","Acta Psychiatr Scand"
703,"Acta radiologica: diagnosis","Acta Radiol Diagn (Stockh)"
704,"Acta medica Scandinavica","Acta Med Scand"
705,"Acta medica Scandinavica. Supplementum","Acta Med Scand Suppl"
706,"Acta microbiologica, virologica et immunologica","Acta Microbiol Virol Immunol (Sofiia)"
707,"Advances in internal medicine","Adv Intern Med"
708,"Advances in neurology","Adv Neurol"
709,"American journal of clinical pathology","Am J Clin Pathol"
710,"American journal of orthodontics","Am J Orthod"
711,"AJR. American journal of roentgenology","AJR Am J Roentgenol"
712,"The Alabama journal of medical sciences","Ala J Med Sci"
713,"Alergia","Alergia"
714,"Anaesthesia, resuscitation, and intensive therapy","Anaesth Resusc Intensive Ther"
715,"Annales de microbiologie","Ann Microbiol (Paris)"
716,"Archivos de farmacologia y toxicologia","Arch Farmacol Toxicol"
717,"Archivum immunologiae et therapiae experimentalis","Arch Immunol Ther Exp (Warsz)"
718,"Archives of pathology & laboratory medicine","Arch Pathol Lab Med"
719,"Beitrage zur Orthopadie und Traumatologie","Beitr Orthop Traumatol"
720,"Biken journal","Biken J"
721,"British journal of obstetrics and gynaecology","Br J Obstet Gynaecol"
722,"Biological reviews of the Cambridge Philosophical Society","Biol Rev Camb Philos Soc"
723,"Calcified tissue research","Calcif Tissue Res"
724,"Canadian Medical Association journal","Can Med Assoc J"
725,"Cardiology","Cardiology"
726,"Chemical & pharmaceutical bulletin","Chem Pharm Bull (Tokyo)"
727,"Circulation","Circulation"
728,"La Clinica terapeutica","Clin Ter"
729,"Connective tissue research","Connect Tissue Res"
730,"The Cornell veterinarian","Cornell Vet"
731,"CRC critical reviews in biochemistry","CRC Crit Rev Biochem"
732,"Current topics in cellular regulation","Curr Top Cell Regul"
733,"Current topics in microbiology and immunology","Curr Top Microbiol Immunol"
734,"Chronobiologia","Chronobiologia"
735,"Deutsche zahnarztliche Zeitschrift","Dtsch Zahnarztl Z"
736,"European journal of cancer","Eur J Cancer"
737,"Experimental parasitology","Exp Parasitol"
738,"Farmatsiia","Farmatsiia"
739,"Fertility and sterility","Fertil Steril"
740,"Gan","Gan"
741,"Ginekologia polska","Ginekol Pol"
742,"Folia veterinaria Latina","Folia Vet Lat"
743,"Indian journal of biochemistry & biophysics","Indian J Biochem Biophys"
744,"International journal of fertility","Int J Fertil"
745,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete","Hautarzt"
746,"Journal of anatomy","J Anat"
747,"Journal of biological standardization","J Biol Stand"
748,"Journal of biomedical materials research","J Biomed Mater Res"
749,"Journal of the American Geriatrics Society","J Am Geriatr Soc"
750,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine","J Nucl Med"
751,"Nihon Jibiinkoka Gakkai kaiho","Nihon Jibiinkoka Gakkai Kaiho"
752,"The Journal of parasitology","J Parasitol"
753,"Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan","Yakugaku Zasshi"
754,"Journal of the National Medical Association","J Natl Med Assoc"
755,"Rinsho hoshasen. Clinical radiography","Rinsho Hoshasen"
756,"Nihon Jinzo Gakkai shi","Nihon Jinzo Gakkai Shi"
757,"Kyobu geka. The Japanese journal of thoracic surgery","Kyobu Geka"
758,"Kinderarztliche Praxis","Kinderarztl Prax"
759,"Khirurgiia","Khirurgiia (Mosk)"
760,"Khirurgiia","Khirurgiia (Sofiia)"
761,"The Journal of surgical research","J Surg Res"
762,"Major problems in clinical surgery","Major Probl Clin Surg"
763,"Malacologia","Malacologia"
764,"Mikrochimica acta","Mikrochim Acta"
765,"Modern veterinary practice","Mod Vet Pract"
766,"Monatsschrift fur Kinderheilkunde","Monatsschr Kinderheilkd"
767,"Minerva anestesiologica","Minerva Anestesiol"
768,"Nutrition reviews","Nutr Rev"
769,"Das Offentliche Gesundheitswesen","Offentl Gesundheitswes"
770,"Oncology","Oncology"
771,"Ontogenez","Ontogenez"
772,"The Orthopedic clinics of North America","Orthop Clin North Am"
773,"Pediatriia","Pediatriia"
774,"Parazitologiia","Parazitologiia"
775,"The Nursing clinics of North America","Nurs Clin North Am"
776,"Polski przeglad chirurgiczny","Pol Przegl Chir"
777,"Postgraduate medical journal","Postgrad Med J"
778,"Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia","Proc Finn Dent Soc"
779,"Problemy endokrinologii","Probl Endokrinol (Mosk)"
780,"Physiology & behavior","Physiol Behav"
781,"Quaderni Sclavo di diagnostica clinica e di laboratorio","Quad Sclavo Diagn"
782,"Prostaglandins","Prostaglandins"
783,"Radiobiologiia","Radiobiologiia"
784,"Revista chilena de pediatria","Rev Chil Pediatr"
785,"Research publications - Association for Research in Nervous and Mental Disease","Res Publ Assoc Res Nerv Ment Dis"
786,"Revue medicale de Liege","Rev Med Liege"
787,"Scandinavian journal of rheumatology","Scand J Rheumatol"
788,"Scottish medical journal","Scott Med J"
789,"The Southeast Asian journal of tropical medicine and public health","Southeast Asian J Trop Med Public Health"
790,"Sykepleien","Sykepleien"
791,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke","Tidsskr Nor Laegeforen"
792,"Tropical animal health and production","Trop Anim Health Prod"
793,"Washington State journal of nursing","Wash State J Nurs"
794,"Wiadomosci parazytologiczne","Wiad Parazytol"
795,"Wiener klinische Wochenschrift","Wien Klin Wochenschr"
796,"Wiener klinische Wochenschrift. Supplementum","Wien Klin Wochenschr Suppl"
797,"Zeitschrift fur Geburtshilfe und Perinatologie","Z Geburtshilfe Perinatol"
798,"Zeitschrift fur Parasitenkunde (Berlin, Germany)","Z Parasitenkd"
799,"ZWR","ZWR"
800,"Acta biologica Academiae Scientiarum Hungaricae","Acta Biol Acad Sci Hung"
801,"Acta clinica Belgica","Acta Clin Belg"
802,"Acta odontologica Scandinavica","Acta Odontol Scand"
803,"Acta neurologica Belgica","Acta Neurol Belg"
804,"Acta physiologica latino americana","Acta Physiol Lat Am"
805,"Advances in clinical chemistry","Adv Clin Chem"
806,"Acta neurologica","Acta Neurol (Napoli)"
807,"Advances in lipid research","Adv Lipid Res"
808,"Advances in parasitology","Adv Parasitol"
809,"Allergologia et immunopathologia","Allergol Immunopathol (Madr)"
810,"American journal of hospital pharmacy","Am J Hosp Pharm"
811,"The American journal of digestive diseases","Am J Dig Dis"
812,"The American journal of the medical sciences","Am J Med Sci"
813,"American journal of pharmacy and the sciences supporting public health","Am J Pharm Sci Support Public Health"
814,"Akusherstvo i ginekologiia","Akush Ginekol (Sofiia)"
815,"Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology","Albrecht Von Graefes Arch Klin Exp Ophthalmol"
816,"Anaesthesia","Anaesthesia"
817,"The Anatomical record","Anat Rec"
818,"Anesthesie, analgesie, reanimation","Anesth Analg (Paris)"
819,"The American surgeon","Am Surg"
820,"Annales de parasitologie humaine et comparee","Ann Parasitol Hum Comp"
821,"Annales pharmaceutiques francaises","Ann Pharm Fr"
822,"Annual review of physiology","Annu Rev Physiol"
823,"ANPHI papers","ANPHI Pap"
824,"Antibiotics and chemotherapy","Antibiot Chemother (1971)"
825,"Archives of environmental health","Arch Environ Health"
826,"Archivos de investigacion medica","Arch Invest Med (Mex)"
827,"Archivio Monaldi per la tisiologia e le malattie dell'apparato respiratorio","Arch Monaldi"
828,"Arkhiv anatomii, gistologii i embriologii","Arkh Anat Gistol Embriol"
829,"The Australian and New Zealand journal of psychiatry","Aust N Z J Psychiatry"
830,"Beitrage zur gerichtlichen Medizin","Beitr Gerichtl Med"
831,"Basic research in cardiology","Basic Res Cardiol"
832,"Transactions of the Association of American Physicians","Trans Assoc Am Physicians"
833,"Boletin - Colegio de Profesionales de la Enfermeria de Puerto Rico","Bol Col Prof Enferm P R"
834,"British heart journal","Br Heart J"
835,"Bioinorganic chemistry","Bioinorg Chem"
836,"Biologie et gastro-enterologie","Biol Gastroenterol (Paris)"
837,"Biomedical mass spectrometry","Biomed Mass Spectrom"
838,"Bulletin de l'Association des anatomistes","Bull Assoc Anat (Nancy)"
839,"Cell and tissue kinetics","Cell Tissue Kinet"
840,"Ceskoslovenska fysiologie","Cesk Fysiol"
841,"Clinical genetics","Clin Genet"
842,"Clinical radiology","Clin Radiol"
843,"Comprehensive therapy","Compr Ther"
844,"Drug metabolism reviews","Drug Metab Rev"
845,"Eksperimentalna meditsina i morfologiia","Eksp Med Morfol"
846,"L'Encephale","Encephale"
847,"Equine veterinary journal","Equine Vet J"
848,"Federation proceedings","Fed Proc"
849,"Food and nutrition","Food Nutr (Roma)"
850,"Geriatrics","Geriatrics"
851,"Glas. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka","Glas Srp Akad Nauka Med"
852,"Folia parasitologica","Folia Parasitol (Praha)"
853,"Hospitals","Hospitals"
854,"International journal for parasitology","Int J Parasitol"
855,"International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition","Int J Vitam Nutr Res"
856,"International surgery","Int Surg"
857,"International review of cytology","Int Rev Cytol"
858,"Journal de chirurgie","J Chir (Paris)"
859,"Journal of chromatographic science","J Chromatogr Sci"
860,"Journal of cyclic nucleotide research","J Cyclic Nucleotide Res"
861,"The Journal of dairy research","J Dairy Res"
862,"Journal of neurology, neurosurgery, and psychiatry","J Neurol Neurosurg Psychiatry"
863,"Journal of the South African Veterinary Association","J S Afr Vet Assoc"
864,"Journal of medical microbiology","J Med Microbiol"
865,"Journal of sex & marital therapy","J Sex Marital Ther"
866,"Journal of neuroscience research","J Neurosci Res"
867,"Journal of ultrastructure research","J Ultrastruct Res"
868,"The Japanese journal of antibiotics","Jpn J Antibiot"
869,"Kangogaku zasshi","Kangogaku Zasshi"
870,"Nihon Kyobu Shikkan Gakkai zasshi","Nihon Kyobu Shikkan Gakkai Zasshi"
871,"Kardiologia polska","Kardiol Pol"
872,"Klinicheskaia khirurgiia","Klin Khir"
873,"Laboratory investigation; a journal of technical methods and pathology","Lab Invest"
874,"Journal of the science of food and agriculture","J Sci Food Agric"
875,"Journal of steroid biochemistry","J Steroid Biochem"
876,"Journal of supramolecular structure","J Supramol Struct"
877,"Journal of surgical oncology","J Surg Oncol"
878,"Medical care","Med Care"
879,"Medizinische Monatsschrift","Med Monatsschr"
880,"Morphologie et embryologie","Morphol Embryol (Bucur)"
881,"Neirofiziologiia = Neurophysiology","Neirofiziologiia"
882,"Neuropsychobiology","Neuropsychobiology"
883,"Minerva medica","Minerva Med"
884,"Minerva chirurgica","Minerva Chir"
885,"Pathologie-biologie","Pathol Biol (Paris)"
886,"Nihon Igaku Hoshasen Gakkai zasshi. Nippon acta radiologica","Nihon Igaku Hoshasen Gakkai Zasshi"
887,"Polish medical sciences and history bulletin","Pol Med Sci Hist Bull"
888,"Problemy medycyny wieku rozwojowego","Probl Med Wieku Rozwoj"
889,"Proceedings of the annual meeting of the American Psychopathological Association","Proc Annu Meet Am Psychopathol Assoc"
890,"Pharmacological reviews","Pharmacol Rev"
891,"Pharmacology & therapeutics. Part B: General & systematic pharmacology","Pharmacol Ther B"
892,"Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica","Seishin Shinkeigaku Zasshi"
893,"Radiology","Radiology"
894,"Psychopharmacology communications","Psychopharmacol Commun"
895,"Revue medicale de la Suisse romande","Rev Med Suisse Romande"
896,"Revue de neuropsychiatrie infantile et d'hygiene mentale de l'enfance","Rev Neuropsychiatr Infant"
897,"Scandinavian journal of gastroenterology","Scand J Gastroenterol"
898,"The science reports of the research institutes, Tohoku University. Ser. C, Medicine. Tohoku Daigaku","Sci Rep Res Inst Tohoku Univ Med"
899,"Surgical neurology","Surg Neurol"
900,"Terapevticheskii arkhiv","Ter Arkh"
901,"L'union medicale du Canada","Union Med Can"
902,"Urologiia i nefrologiia","Urol Nefrol (Mosk)"
903,"Vutreshni bolesti","Vutr Boles"
904,"ZFA. Zeitschrift fur Allgemeinmedizin","ZFA (Stuttgart)"
905,"Zeitschrift fur Tierphysiologie, Tierernahrung und Futtermittelkunde","Z Tierphysiol Tierernahr Futtermittelkd"
906,"Zentralblatt fur Veterinarmedizin. Reihe A","Zentralbl Veterinarmed A"
907,"Acta chirurgica Academiae Scientiarum Hungaricae","Acta Chir Acad Sci Hung"
908,"Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca","Acta Chir Orthop Traumatol Cech"
909,"Acta anaesthesiologica Scandinavica","Acta Anaesthesiol Scand"
910,"Acta anaesthesiologica Belgica","Acta Anaesthesiol Belg"
911,"Acta neurologica Scandinavica","Acta Neurol Scand"
912,"Acta neurochirurgica","Acta Neurochir (Wien)"
913,"Advances in sex hormone research","Adv Sex Horm Res"
914,"Acta veterinaria Scandinavica","Acta Vet Scand"
915,"The American journal of orthopsychiatry","Am J Orthopsychiatry"
916,"Anasthesiologische und intensivmedizinische Praxis","Anasthesiol Intensivmed Prax"
917,"Annals of allergy","Ann Allergy"
918,"Angiologia","Angiologia"
919,"The Annals of otology, rhinology, and laryngology","Ann Otol Rhinol Laryngol"
920,"Annals of clinical biochemistry","Ann Clin Biochem"
921,"Annales de cardiologie et d'angeiologie","Ann Cardiol Angeiol (Paris)"
922,"Applied and environmental microbiology","Appl Environ Microbiol"
923,"Archives of environmental contamination and toxicology","Arch Environ Contam Toxicol"
924,"Archives of ophthalmology (Chicago, Ill. : 1960)","Arch Ophthalmol"
925,"Australian journal of biological sciences","Aust J Biol Sci"
926,"Berliner und Munchener tierarztliche Wochenschrift","Berl Munch Tierarztl Wochenschr"
927,"Bacteriological reviews","Bacteriol Rev"
928,"The British journal of medical psychology","Br J Med Psychol"
929,"The Biological bulletin","Biol Bull"
930,"Bulletin of endemic diseases","Bull Endem Dis (Baghdad)"
931,"The British journal of venereal diseases","Br J Vener Dis"
932,"The Canadian nurse","Can Nurse"
933,"Caries research","Caries Res"
